web-scraper-order,web-scraper-start-url,conf_oot,conf_oot-href,confid,conf-name,conf-desc,conf-image-src,conf-url,conf-url-href,event_url,event_url-href
"1542718975-117","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","WSC","Winter Simulation Conference","The Winter Simulation Conference (WSC) is the premier international forum for disseminating recent advances in the field of system simulation. In addition to a technical program of unsurpassed scope and quality, WSC provides the central meeting place for simulation practitioners, researchers, and vendors working in all disciplines in industrial, governmental, military, and academic sectors. The theme for WSC 2010 is ""Global Integration and Collaboration.""","https://portalparts.acm.org/event_logos/351/351.jpg","","http://www.wintersim.org/","Winter Simulation Conference","https://dl.acm.org/event.cfm?id=RE193"
"1542718975-39","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","GIS","Geographic Information Systems","The ACM SIGSPATIAL International Conferences on Advances in Geographic Information Systems are events in a series of symposia and workshops that began in 1993 with the aim of bringing together researchers, developers, users, and practitioners carrying out research and development in novel systems based on geo-spatial data and knowledge, and fostering interdisciplinary discussions and research in all aspects of geographic information systems. The conferences provide a forum for original research contributions covering all conceptual, design, and implementation aspects of GIS ranging from applications, user interfaces, and visualization to storage management and indexing issues. These conferences are the premier annual events of the ACM Special Interest Group on Spatial Information (ACM SIGSPATIAL). Researchers, students, and practitioners are invited to submit their contributions.","https://portalparts.acm.org/event_logos/N19/gis.jpg","","http://acmgis2011.cs.umn.edu/submission.html","Geographic Information Systems","https://dl.acm.org/event.cfm?id=RE349"
"1542718975-20","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","CPR","Computers and People Research","Today's competitive and dynamic information-based global society has created a gap between the available supply of information technology (IT) professionals and the demand for their skills and talents. Subsequently, practitioners and researchers are challenged with addressing this gap through the preparation, recruitment and retention of IT professionals. From an individual perspective, questions remain about the skill and knowledge requirements necessary to secure employment in an evolving environment (skills gap). From an educational perspective, programs are attempting to increase student enrollments despite dwindling funding and the recent economics crisis (enrollment and funding gaps). From an IT profession perspective, organizations continue to struggle to adequately manage their talent, provide career development and plan for succession as the baby boomers begin to retire (recruitment and retention gaps). Given these many challenges, the ACM SIGMIS CPR conference aims to co","https://portalparts.acm.org/event_logos/303/303.jpg","","http://www.sigmis.org/CPR_2011_Home_Page.html","Computers and People Research","https://dl.acm.org/event.cfm?id=RE173"
"1542718975-31","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","ESEM","Empirical Software Engineering and Measurement","The objective of the International Symposium on Empirical Software Engineering and Measurement (ESEM) is to provide a forum where researchers and practitioners can report and discuss recent research results in the area of empirical software engineering and metrics.


This conference encourages the exchange of ideas that help understand, from an empirical viewpoint, the strengths and weaknesses of software engineering technologies. The conference focuses on the processes, design and structure of empirical studies, and the results of specific studies. These studies may vary from controlled experiments to field studies and from quantitative to qualitative studies.","https://portalparts.acm.org/event_logos/RE242.jpg","","http://www.csc2.ncsu.edu/conferences/esem/","Empirical Software Engineering and Measurement","https://dl.acm.org/event.cfm?id=RE242"
"1542718975-54","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","ICPE","ACM/SPEC International Conference on Performance Engineering","The goal of the International Conference on Performance Engineering (ICPE) is to integrate theory and practice in the field of performance engineering by providing a forum for sharing ideas and experiences between industry and academia. ICPE is an annual conference that originated from the merger of the ACM Workshop on Software and Performance (WOSP) with the SPEC International Performance Engineering Workshop (SIPEW) in 2010. Nowadays, complex systems of all types, like Web-based systems, data centers and cloud infrastructures, social networks, peer-to-peer, mobile and wireless systems, cyber-physical systems, the Internet of Things, real-time and embedded systems, have increasingly distributed and dynamic system architectures that provide high flexibility, however, also increase the complexity of managing end-to-end application performance.



ICPE brings together researchers and industry practitioners to share and present their experiences, discuss challenges, and report","https://portalparts.acm.org/event_logos/RE313.jpg","","http://icpe.ipd.kit.edu/","ACM/SPEC International Conference on Performance Engineering","https://dl.acm.org/event.cfm?id=RE313"
"1542718975-94","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","SACMAT","Symposium on Access Control Models and Technologies","The ACM Symposium on Access Control Models and Technologies (SACMAT) is the premier forum for the presentation of research results and experience reports on leading edge issues of access control, including models, systems, applications, and theory. The aims of the symposium are to share novel access control solutions that fulfil the needs of heterogeneous applications and environments, and to identify new directions for future research and development. SACMAT provides researchers and practitioners with a unique opportunity to share their perspectives with others interested in the various aspects of access control.","https://portalparts.acm.org/event_logos/RE125.jpg","","http://www.sacmat.org/2011/index.php","Symposium on Access Control Models and Technologies","https://dl.acm.org/event.cfm?id=RE125"
"1542718975-40","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","GLSVLSI","Great Lakes Symposium on VLSI","Original, unpublished papers, describing research in the general area of VLSI are solicited. Both theoretical and experimental research results are welcome. Program Tracks: 


VLSI Design: design of ASICs, microprocessors/micro-architectures, embedded processors, analog/digital/mixed-signal systems, NoC, interconnects, memories, and FPGAs. 


VLSI Circuits: analog/digital/mixed-signal circuits, RF and communication circuits, chaos/neural/fuzzy-logic circuits, high-speed/low-power circuits. 


Computer-Aided Design (CAD): hardware/software co-design, logic and behavioral synthesis, logic mapping, simulation and formal verification, layout (partitioning, placement, routing, floorplanning, compaction), algorithms and complexity analysis. 


Low Power and Power Aware Design: circuits, micro-architectural techniques, thermal estimation and optimization, power estimation methodologies, and CAD tools. 


Testing, Reliability, Fault-Toler","https://portalparts.acm.org/event_logos/RE118.jpg","","http://www.glsvlsi.org/","Great Lakes Symposium on VLSI","https://dl.acm.org/event.cfm?id=RE118"
"1542718975-109","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","UCCS","SIGUCCS User Services Conference","The Special Interest Group on University and College Computing Services (SIGUCCS) is an association of professionals who support and manage the diverse aspects of information technology services at higher education institutions.


SIGUCCS is one of 34 special interest groups of ACM, the Association for Computing Machinery, the world's largest educational and scientific computing society.


SIGUCCS focuses on issues surrounding the support, delivery, and management of those services, and provides professional development opportunities for its members and the other individuals in the field.","https://portalparts.acm.org/event_logos/367/367.jpg","","http://www.siguccs.org/","SIGUCCS User Services Conference","https://dl.acm.org/event.cfm?id=RE204"
"1542718975-1","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","ACM SE","ACM Southeast Regional Conference","ACM Southeast Regional Conference the oldest, continuously running, annual conference of the ACM. ACMSE provides an excellent forum for both faculty and students to present their research in a friendly and dynamic atmosphere in all areas of computer science.","https://portalparts.acm.org/event_logos/re315.jpg","","http://acmse.kennesaw.edu/index.php","ACM Southeast Regional Conference","https://dl.acm.org/event.cfm?id=RE315"
"1542718975-70","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","JCDL","Joint Conference on Digital Libraries","Since 2001, the Joint Conference on Digital Libraries has served as the major international forum focused on digital libraries and associated technical, practical, and social issues. JCDL encompasses the many meanings of the term ""digital libraries,"" including (but not limited to) new forms of information institutions; operational information systems with all manner of digital content; new means of selecting, collecting, organizing, and distributing digital content; and theoretical models of information media, including document genres and electronic publishing. Digital libraries may be viewed as a new form of information institution or as an extension of the services libraries currently provide. Representatives from academe, government, industry, and others are invited to participate in this annual conference. The conference draws from a broad array of disciplines including computer science, information science, librarianship, archival science and practice, museum studies and practice","https://portalparts.acm.org/event_logos/RE113.jpg","","http://jcdl2011.org/","Joint Conference on Digital Libraries","https://dl.acm.org/event.cfm?id=RE113"
